"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Storage","Storage Media","usageType","operation","Compute type","ECU","Memory (GiB)","Region Code","serviceName"
"2D8Y2HAWBJAUY52W","NQ3QZPMQV9","2D8Y2HAWBJAUY52W.NQ3QZPMQV9.2TG2D8R56U","Reserved","Upfront Fee","2023-11-01",,,"Quantity","63324.288","USD","3yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","or1.12xlarge.search","Yes","OR1","48","EBS Only",,"USW2-ESInstance:or1.12xlarge","ESDomain",,"N/A","384","us-west-2","Amazon OpenSearch Service"
"2DFTNRJMYHYXN263","38NPMPTW36","2DFTNRJMYHYXN263.38NPMPTW36.6YS6EN2CT7","Reserved","AmazonOpenSearchService, i4g.16xlarge.search reserved instance applied","2024-09-01","0","Inf","Hrs","1.9770000000","USD","3yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.16xlarge.search","Yes","Storage optimized","64","4 x 3,750 Nitro SSD",,"USW2-ESInstance:i4g.16xlarge","ESDomain",,"variable","512","us-west-2","Amazon OpenSearch Service"
"2DFTNRJMYHYXN263","38NPMPTW36","2DFTNRJMYHYXN263.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2024-09-01",,,"Quantity","51949","USD","3yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.16xlarge.search","Yes","Storage optimized","64","4 x 3,750 Nitro SSD",,"USW2-ESInstance:i4g.16xlarge","ESDomain",,"variable","512","us-west-2","Amazon OpenSearch Service"
"2DFTNRJMYHYXN263","4NA7Y494T4","2DFTNRJMYHYXN263.4NA7Y494T4.6YS6EN2CT7","Reserved","AmazonOpenSearchService, i4g.16xlarge.search reserved instance applied","2024-09-01","0","Inf","Hrs","5.4560000000","USD","1yr","No Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.16xlarge.search","Yes","Storage optimized","64","4 x 3,750 Nitro SSD",,"USW2-ESInstance:i4g.16xlarge","ESDomain",,"variable","512","us-west-2","Amazon OpenSearch Service"
"2DFTNRJMYHYXN263","6QCMYABX3D","2DFTNRJMYHYXN263.6QCMYABX3D.6YS6EN2CT7","Reserved","AmazonOpenSearchService, i4g.16xlarge.search reserved instance applied","2024-09-01","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.16xlarge.search","Yes","Storage optimized","64","4 x 3,750 Nitro SSD",,"USW2-ESInstance:i4g.16xlarge","ESDomain",,"variable","512","us-west-2","Amazon OpenSearch Service"
"2DFTNRJMYHYXN263","6QCMYABX3D","2DFTNRJMYHYXN263.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2024-09-01",,,"Quantity","45022","USD","1yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.16xlarge.search","Yes","Storage optimized","64","4 x 3,750 Nitro SSD",,"USW2-ESInstance:i4g.16xlarge","ESDomain",,"variable","512","us-west-2","Amazon OpenSearch Service"
"2DFTNRJMYHYXN263","BPH4J8HBKS","2DFTNRJMYHYXN263.BPH4J8HBKS.6YS6EN2CT7","Reserved","AmazonOpenSearchService, i4g.16xlarge.search reserved instance applied","2024-09-01","0","Inf","Hrs","4.1120000000","USD","3yr","No Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.16xlarge.search","Yes","Storage optimized","64","4 x 3,750 Nitro SSD",,"USW2-ESInstance:i4g.16xlarge","ESDomain",,"variable","512","us-west-2","Amazon OpenSearch Service"
"2DFTNRJMYHYXN263","HU7G6KETJZ","2DFTNRJMYHYXN263.HU7G6KETJZ.6YS6EN2CT7","Reserved","AmazonOpenSearchService, i4g.16xlarge.search reserved instance applied","2024-09-01","0","Inf","Hrs","2.6490000000","USD","1yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.16xlarge.search","Yes","Storage optimized","64","4 x 3,750 Nitro SSD",,"USW2-ESInstance:i4g.16xlarge","ESDomain",,"variable","512","us-west-2","Amazon OpenSearch Service"
"2DFTNRJMYHYXN263","HU7G6KETJZ","2DFTNRJMYHYXN263.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2024-09-01",,,"Quantity","23204","USD","1yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.16xlarge.search","Yes","Storage optimized","64","4 x 3,750 Nitro SSD",,"USW2-ESInstance:i4g.16xlarge","ESDomain",,"variable","512","us-west-2","Amazon OpenSearch Service"
"2DFTNRJMYHYXN263","JRTCKXETXF","2DFTNRJMYHYXN263.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD $7.907/Hr i4g.16xlarge.search - US West (Oregon)","2024-10-01","0","Inf","Hrs","7.9070000000","USD",,,,"Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.16xlarge.search","Yes","Storage optimized","64","4 x 3,750 Nitro SSD",,"USW2-ESInstance:i4g.16xlarge","ESDomain",,"variable","512","us-west-2","Amazon OpenSearch Service"
