id,actionType
NDc2NDYzNTYxNzA5X2MyNjBkZWM2LWM4NDYtNGY3Zi04OTQwLTMyODcyZDVhYjdhYg==,PurchaseReservedInstances
Nzk5NjgyNTIzMTkxX2RhOWFjZWRhLWI2NWItNDkyMS04YzU3LWFkMGQ5MTM1YzA2Mw==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzFlY2M4MTI5LWFlNzQtNDhiMC1hZDYxLWE3ZmJlYjY5YjkwOQ==,PurchaseReservedInstances
OTc2NzQ1NDA0OTA3X2M5MDAzMGJkLWFlOWQtNDdjYy1iNjA4LWZkNTE4YjE2MzlkNg==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzdmMTQ3ZDZiLTFlZWUtNGY0Ni1hZjU4LTBiZWYwMTJhNmM2MQ==,PurchaseReservedInstances
OTc2NzQ1NDA0OTA3XzczNWZmNjFlLTY1OGQtNDRlYS05Yzc4LTgyNDcxMzQyODZjYg==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5X2VjZDVlM2M1LWFlZmQtNDQ0YS1iMmU0LTc0MGZlNTY1YWRkNw==,PurchaseReservedInstances
Nzk5NjgyNTIzMTkxX2MyNTJlNjZkLWZmOGQtNDY2Yy1iMjRmLTlmZTM4YzQ3NDgzZQ==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5X2NiOTM4MGJkLTE2YzctNDE3Ni05MTc0LWMxNmJiYjJlYjYzMw==,PurchaseReservedInstances
OTc2NzQ1NDA0OTA3XzI1NDVmOThjLWNjOWMtNDA2YS1iOTMxLThhZGU2M2ZjNDAwMQ==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5Xzc5ZDlmOGM2LTVlMjgtNDE1Zi04YzAyLTA0NDhjNzQyZGJjOQ==,PurchaseReservedInstances
OTc2NzQ1NDA0OTA3X2ZmNDM5MTFlLWUxNzEtNDc3MS05NTkzLThlZjFkMzg3MWI1ZQ==,PurchaseReservedInstances
OTc2NzQ1NDA0OTA3Xzc4Y2M4MzI1LWFkN2ItNDA1Zi1hOTk4LTE1ZWI1MTZlODljMw==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzNiOTNiMWUyLWIzZWUtNGZlNC05YzlmLTg3YmYyNWExMGQ1NA==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzdiNzhhMzRmLTQzMTMtNGFmYS1iNzhjLTFkNjc0MmQ0YjMxMA==,PurchaseReservedInstances
Nzk5NjgyNTIzMTkxXzc2ZDNmMDYxLTI3OWYtNGQ0ZS04ZjljLTZiZmJkZTVjMzVkYQ==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzZjZDAzNDA1LTBjMzUtNDMxMy1iMzhkLTRhZjRjYzc3NzAyNw==,PurchaseReservedInstances
Nzk5NjgyNTIzMTkxXzBkOWExYWMwLWQ2YTYtNDYwOS04OTU3LWMzYTUzMGUzYmJkMA==,MigrateToGraviton
OTc2NzQ1NDA0OTA3X2JkOGFiMjMzLTRlMTgtNDk0MC1hMWJhLTYxNWIyMjU0NDAxZQ==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5X2E3MDU0NzY3LWM2NzAtNDI5Yy04NTdiLWFjMWQ3Zjk0MmI3Zg==,PurchaseReservedInstances
