"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Storage","Storage Media","usageType","operation","Compute type","ECU","Memory (GiB)","Region Code","serviceName"
"234KBGMU339Q24YE","NQ3QZPMQV9","234KBGMU339Q24YE.NQ3QZPMQV9.2TG2D8R56U","Reserved","Upfront Fee","2023-10-01",,,"Quantity","13767.356","USD","3yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","im4gn.2xlarge.search","Yes","Storage optimized","8","1 x 3750 SSD",,"ESInstance:im4gn.2xlarge","ESDomain",,"27","32","us-east-1","Amazon OpenSearch Service"
"25TN9KMUGRFFZY8S","38NPMPTW36","25TN9KMUGRFFZY8S.38NPMPTW36.6YS6EN2CT7","Reserved","AmazonOpenSearchService, or1.xlarge.search reserved instance applied","2023-11-01","0","Inf","Hrs","0.1050000000","USD","3yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","or1.xlarge.search","Yes","OR1","4","EBS Only",,"ESInstance:or1.xlarge","ESDomain",,"N/A","32","us-east-1","Amazon OpenSearch Service"
"25TN9KMUGRFFZY8S","38NPMPTW36","25TN9KMUGRFFZY8S.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2023-11-01",,,"Quantity","2759.4","USD","3yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","or1.xlarge.search","Yes","OR1","4","EBS Only",,"ESInstance:or1.xlarge","ESDomain",,"N/A","32","us-east-1","Amazon OpenSearch Service"
"25TN9KMUGRFFZY8S","4NA7Y494T4","25TN9KMUGRFFZY8S.4NA7Y494T4.6YS6EN2CT7","Reserved","AmazonOpenSearchService, or1.xlarge.search reserved instance applied","2023-11-01","0","Inf","Hrs","0.2890000000","USD","1yr","No Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","or1.xlarge.search","Yes","OR1","4","EBS Only",,"ESInstance:or1.xlarge","ESDomain",,"N/A","32","us-east-1","Amazon OpenSearch Service"
"25TN9KMUGRFFZY8S","6QCMYABX3D","25TN9KMUGRFFZY8S.6QCMYABX3D.6YS6EN2CT7","Reserved","AmazonOpenSearchService, or1.xlarge.search reserved instance applied","2023-11-01","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","or1.xlarge.search","Yes","OR1","4","EBS Only",,"ESInstance:or1.xlarge","ESDomain",,"N/A","32","us-east-1","Amazon OpenSearch Service"
"25TN9KMUGRFFZY8S","6QCMYABX3D","25TN9KMUGRFFZY8S.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2023-11-01",,,"Quantity","2385.786","USD","1yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","or1.xlarge.search","Yes","OR1","4","EBS Only",,"ESInstance:or1.xlarge","ESDomain",,"N/A","32","us-east-1","Amazon OpenSearch Service"
"25TN9KMUGRFFZY8S","BPH4J8HBKS","25TN9KMUGRFFZY8S.BPH4J8HBKS.6YS6EN2CT7","Reserved","AmazonOpenSearchService, or1.xlarge.search reserved instance applied","2023-11-01","0","Inf","Hrs","0.2180000000","USD","3yr","No Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","or1.xlarge.search","Yes","OR1","4","EBS Only",,"ESInstance:or1.xlarge","ESDomain",,"N/A","32","us-east-1","Amazon OpenSearch Service"
"25TN9KMUGRFFZY8S","HU7G6KETJZ","25TN9KMUGRFFZY8S.HU7G6KETJZ.6YS6EN2CT7","Reserved","AmazonOpenSearchService, or1.xlarge.search reserved instance applied","2023-11-01","0","Inf","Hrs","0.1400000000","USD","1yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","or1.xlarge.search","Yes","OR1","4","EBS Only",,"ESInstance:or1.xlarge","ESDomain",,"N/A","32","us-east-1","Amazon OpenSearch Service"
"25TN9KMUGRFFZY8S","HU7G6KETJZ","25TN9KMUGRFFZY8S.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2023-11-01",,,"Quantity","1226.4","USD","1yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","or1.xlarge.search","Yes","OR1","4","EBS Only",,"ESInstance:or1.xlarge","ESDomain",,"N/A","32","us-east-1","Amazon OpenSearch Service"
"25TN9KMUGRFFZY8S","JRTCKXETXF","25TN9KMUGRFFZY8S.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 0.419 per or1.xlarge.search instance hour (or partial hour) - ESInstance:or1.xlarge","2024-10-01","0","Inf","Hrs","0.4190000000","USD",,,,"Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","or1.xlarge.search","Yes","OR1","4","EBS Only",,"ESInstance:or1.xlarge","ESDomain",,"N/A","32","us-east-1","Amazon OpenSearch Service"
