"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Memory","Network Performance","Cache Engine","Storage Media","Transfer Type","usageType","operation","Normalization Size Factor","Region Code","serviceName","SSD"
"29SQMYXND8683TTE","NQ3QZPMQV9","29SQMYXND8683TTE.NQ3QZPMQV9.2TG2D8R56U","Reserved","Upfront Fee","2020-09-01",,,"Quantity","2434","USD","3yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r6g.large","Yes","Memory optimized","2","13.07 GiB","Up to 10 Gigabit","Memcached",,,"USW2-NodeUsage:cache.r6g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"2DX269NCNRC58DEG","JRTCKXETXF","2DX269NCNRC58DEG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.455 per Enhanced High memory R4.xlarge node hour running Redis","2024-10-01","0","Inf","Hrs","0.4550000000","USD",,,,"Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r4.xlarge","Yes","Memory optimized","4","25.05 GiB","Up to 10 Gigabit","Redis",,,"USW2-NodeUsage:cache.r4.xlarge","CreateCacheCluster:0002","8","us-west-2","Amazon ElastiCache",
"2DX269NCNRC58DEG","VG8YD49WWM","2DX269NCNRC58DEG.VG8YD49WWM.6YS6EN2CT7","Reserved","Redis, cache.r4.xlarge reserved instance applied","2017-10-31","0","Inf","Hrs","0.0910000000","USD","3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r4.xlarge","Yes","Memory optimized","4","25.05 GiB","Up to 10 Gigabit","Redis",,,"USW2-NodeUsage:cache.r4.xlarge","CreateCacheCluster:0002","8","us-west-2","Amazon ElastiCache",
"2DX269NCNRC58DEG","VG8YD49WWM","2DX269NCNRC58DEG.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2017-10-31",,,"Quantity","2066","USD","3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r4.xlarge","Yes","Memory optimized","4","25.05 GiB","Up to 10 Gigabit","Redis",,,"USW2-NodeUsage:cache.r4.xlarge","CreateCacheCluster:0002","8","us-west-2","Amazon ElastiCache",
"2DX269NCNRC58DEG","YTVHEVGPBZ","2DX269NCNRC58DEG.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Redis, cache.r4.xlarge reserved instance applied","2017-10-31","0","Inf","Hrs","0.1230000000","USD","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r4.xlarge","Yes","Memory optimized","4","25.05 GiB","Up to 10 Gigabit","Redis",,,"USW2-NodeUsage:cache.r4.xlarge","CreateCacheCluster:0002","8","us-west-2","Amazon ElastiCache",
"2DX269NCNRC58DEG","YTVHEVGPBZ","2DX269NCNRC58DEG.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2017-10-31",,,"Quantity","1082","USD","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r4.xlarge","Yes","Memory optimized","4","25.05 GiB","Up to 10 Gigabit","Redis",,,"USW2-NodeUsage:cache.r4.xlarge","CreateCacheCluster:0002","8","us-west-2","Amazon ElastiCache",
"2HBTHK5W3Z34G9MC","38NPMPTW36","2HBTHK5W3Z34G9MC.38NPMPTW36.6YS6EN2CT7","Reserved","Valkey, cache.m5.large reserved instance applied","2024-10-01","0","Inf","Hrs","0.0296000000","USD","3yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m5.large","Yes","Standard","2","6.38 GiB","Up to 10 Gigabit","Valkey",,,"USW2-NodeUsage:cache.m5.large","CreateCacheCluster:Valkey",,"us-west-2","Amazon ElastiCache",
"2HBTHK5W3Z34G9MC","38NPMPTW36","2HBTHK5W3Z34G9MC.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2024-10-01",,,"Quantity","787.2","USD","3yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m5.large","Yes","Standard","2","6.38 GiB","Up to 10 Gigabit","Valkey",,,"USW2-NodeUsage:cache.m5.large","CreateCacheCluster:Valkey",,"us-west-2","Amazon ElastiCache",
"2HBTHK5W3Z34G9MC","4NA7Y494T4","2HBTHK5W3Z34G9MC.4NA7Y494T4.6YS6EN2CT7","Reserved","Valkey, cache.m5.large reserved instance applied","2024-10-01","0","Inf","Hrs","0.0848000000","USD","1yr","No Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m5.large","Yes","Standard","2","6.38 GiB","Up to 10 Gigabit","Valkey",,,"USW2-NodeUsage:cache.m5.large","CreateCacheCluster:Valkey",,"us-west-2","Amazon ElastiCache",
"2HBTHK5W3Z34G9MC","6QCMYABX3D","2HBTHK5W3Z34G9MC.6QCMYABX3D.6YS6EN2CT7","Reserved","Valkey, cache.m5.large reserved instance applied","2024-10-01","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m5.large","Yes","Standard","2","6.38 GiB","Up to 10 Gigabit","Valkey",,,"USW2-NodeUsage:cache.m5.large","CreateCacheCluster:Valkey",,"us-west-2","Amazon ElastiCache",
"2HBTHK5W3Z34G9MC","6QCMYABX3D","2HBTHK5W3Z34G9MC.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2024-10-01",,,"Quantity","696","USD","1yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m5.large","Yes","Standard","2","6.38 GiB","Up to 10 Gigabit","Valkey",,,"USW2-NodeUsage:cache.m5.large","CreateCacheCluster:Valkey",,"us-west-2","Amazon ElastiCache",
"2HBTHK5W3Z34G9MC","BPH4J8HBKS","2HBTHK5W3Z34G9MC.BPH4J8HBKS.6YS6EN2CT7","Reserved","Valkey, cache.m5.large reserved instance applied","2024-10-01","0","Inf","Hrs","0.0648000000","USD","3yr","No Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m5.large","Yes","Standard","2","6.38 GiB","Up to 10 Gigabit","Valkey",,,"USW2-NodeUsage:cache.m5.large","CreateCacheCluster:Valkey",,"us-west-2","Amazon ElastiCache",
"2HBTHK5W3Z34G9MC","HU7G6KETJZ","2HBTHK5W3Z34G9MC.HU7G6KETJZ.6YS6EN2CT7","Reserved","Valkey, cache.m5.large reserved instance applied","2024-10-01","0","Inf","Hrs","0.0408000000","USD","1yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m5.large","Yes","Standard","2","6.38 GiB","Up to 10 Gigabit","Valkey",,,"USW2-NodeUsage:cache.m5.large","CreateCacheCluster:Valkey",,"us-west-2","Amazon ElastiCache",
"2HBTHK5W3Z34G9MC","HU7G6KETJZ","2HBTHK5W3Z34G9MC.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2024-10-01",,,"Quantity","355.2","USD","1yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m5.large","Yes","Standard","2","6.38 GiB","Up to 10 Gigabit","Valkey",,,"USW2-NodeUsage:cache.m5.large","CreateCacheCluster:Valkey",,"us-west-2","Amazon ElastiCache",
"2HBTHK5W3Z34G9MC","JRTCKXETXF","2HBTHK5W3Z34G9MC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1248 per Gen Purpose M5.large node hour running Valkey","2024-10-01","0","Inf","Hrs","0.1248000000","USD",,,,"Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m5.large","Yes","Standard","2","6.38 GiB","Up to 10 Gigabit","Valkey",,,"USW2-NodeUsage:cache.m5.large","CreateCacheCluster:Valkey",,"us-west-2","Amazon ElastiCache",
"2HBTHK5W3Z34G9MC","NQ3QZPMQV9","2HBTHK5W3Z34G9MC.NQ3QZPMQV9.6YS6EN2CT7","Reserved","Valkey, cache.m5.large reserved instance applied","2024-10-01","0","Inf","Hrs","0.0000000000","USD","3yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m5.large","Yes","Standard","2","6.38 GiB","Up to 10 Gigabit","Valkey",,,"USW2-NodeUsage:cache.m5.large","CreateCacheCluster:Valkey",,"us-west-2","Amazon ElastiCache",
"2HBTHK5W3Z34G9MC","NQ3QZPMQV9","2HBTHK5W3Z34G9MC.NQ3QZPMQV9.2TG2D8R56U","Reserved","Upfront Fee","2024-10-01",,,"Quantity","1480","USD","3yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m5.large","Yes","Standard","2","6.38 GiB","Up to 10 Gigabit","Valkey",,,"USW2-NodeUsage:cache.m5.large","CreateCacheCluster:Valkey",,"us-west-2","Amazon ElastiCache",
"2JVA6SPVCS7ZCZGJ","38NPMPTW36","2JVA6SPVCS7ZCZGJ.38NPMPTW36.6YS6EN2CT7","Reserved","ElastiCache, cache.m7g.2xlarge reserved instance applied","2023-07-01","0","Inf","Hrs","0.1510000000","USD","3yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.2xlarge","Yes","Standard","8","26.04 GiB","Up to 15 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.2xlarge","CreateCacheCluster:0001","16","us-west-2","Amazon ElastiCache",
"2JVA6SPVCS7ZCZGJ","38NPMPTW36","2JVA6SPVCS7ZCZGJ.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2023-07-01",,,"Quantity","3967.229","USD","3yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.2xlarge","Yes","Standard","8","26.04 GiB","Up to 15 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.2xlarge","CreateCacheCluster:0001","16","us-west-2","Amazon ElastiCache",
"2JVA6SPVCS7ZCZGJ","4NA7Y494T4","2JVA6SPVCS7ZCZGJ.4NA7Y494T4.6YS6EN2CT7","Reserved","ElastiCache, cache.m7g.2xlarge reserved instance applied","2023-07-01","0","Inf","Hrs","0.4280000000","USD","1yr","No Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m7g.2xlarge","Yes","Standard","8","26.04 GiB","Up to 15 Gigabit","Memcached",,,"USW2-NodeUsage:cache.m7g.2xlarge","CreateCacheCluster:0001","16","us-west-2","Amazon ElastiCache",
